Title,Author,Year,Citation count,Open access,DOI,Abstract
Differences between Weekday and Weekend Air Pollutant Levels in Southern California,Charles L. Blanchard|Shelley Tanenbaum,2003,135,Open Access,https://doi.org/10.1080/10473289.2003.10466222,"Ambient air quality data were analyzed to empirically evaluate the effects of reductions of volatile organic compounds (VOCs) and oxides of nitrogen (NOx) emissions on weekday and weekend levels of ozone (O3; 1991-1998) and particulate NO3- (1980-1999) in southern California. Despite significantly lower O3 precursor levels on weekends, 20 of 28 South Coast Air Basin (SoCAB) sites (28 of all 78 southern California sites) showed statistically significant higher mean O3 levels on Sundays than on weekdays (p < 0.01); 49 of the remaining 50 sites showed no significant differences between mean weekday and Sunday peak O3 levels. We also observed no statistically significant differences between mean weekday and weekend concentrations of particulate NO3- or nitric acid (HNO3, the precursor of particulate NO3-). Averaged over sites, the mean Sunday NOx and nonmethane hydrocarbon concentrations were 25-41% and 16-30% lower, respectively, than on weekdays. Site-to-site differences between weekend and weekday mean peak hourly O3 levels were related to whether O3 formation was limited by the availability of NOx. A thermodynamic equilibrium model predicts that particulate NO3- levels would decrease in response to a reduction of HNO3, and that particulate ammonium NO3- formation was not limited by the availability of ammonia. The similarity of mean weekday and weekend levels of NO3- therefore did not result from limitations on the formation of particulate NO3- from its precursor, HNO3."
Executive Order 12866: Regulatory Planning and Review,Bill Clinton,1993,107,NOT Open Access,,
Arsenic Mitigation in Bangladesh: A Household Labor Market Approach,Richard T. Carson|Phoebe Koundouri|Céline Nauges,2010,66,NOT Open Access,https://doi.org/10.1093/ajae/aaq110,
"AIRCRAFT NOISE, HEALTH, AND RESIDENTIAL SORTING: EVIDENCE FROM TWO QUASI‐EXPERIMENTS",Stefan Boes|Stephan Nüesch|Steven Stillman,2013,25,NOT Open Access,https://doi.org/10.1002/hec.2948,
Unattenuated Structural and Biochemical Alterations in the Rat Lung during Functional Adaptation to Ozone,Jeffrey S. Tepper|Daniel L. Costa|James R. Lehmann|Mary F. Weber|Gary E. Hatch,1989,114,NOT Open Access,https://doi.org/10.1164/ajrccm/140.2.493,
Ozone response relationships in healthy nonsmokers.,Thomas J. Kulle|Larry R. Sauder|J. Richard Hebel|Marie Chatham,1985,106,NOT Open Access,https://doi.org/10.1164/arrd.1985.132.1.36,
Impaired exercise performance and pulmonary function in elite cyclists during low-level ozone exposure in a hot environment.,Henry Gong|Patrick W. Bradley|M Simmons|Donald P. Tashkin,1986,74,NOT Open Access,https://doi.org/10.1164/arrd.1986.134.4.726,
Distribution and reproducibility of spirometric response to ozone by gender and age,Milan J. Hazucha|Lawrence J. Folinsbee|Philip A. Bromberg,2003,65,NOT Open Access,https://doi.org/10.1152/japplphysiol.00490.2003,
"Hours of Work, Labor Productivity, and Environmental Conditions: A Case Study",Thomas D. Crocker|R.L. Horst,1981,35,Open Access,https://doi.org/10.2307/1924353,"Livelihood measures of foregone and compensating earnings are frequently used as measures of economic losses due to realized or potential damages to the health of labor in-puts. Both measures as they have been used are incomplete, though for quite different reasons. The narrowness of the foregone earnings mea-sure is widely acknowledged. As set forth in Smith (1974), Thaler and Rosen (1976), and Viscusi (1979), the compensating earnings measure, with its emphasis upon the earnings premia workers require to be willing to be exposed to job hazards they perceive, certainly has broader analytical appeal. However, as empirically implemented, these studies too are incomplete: they deal with worker and time aggregates allowing only crude measures of differences in reward structures, mixes of complementary inputs, work-day lengths, risk aversions, worker effort, and other dissimilar factors across individuals, firms, and industries. In this paper, the productivity changes and consequent earnings adjustments that occur under differing work conditions for 17 individual citrus pickers in southern California are assessed. Interest is centered upon the acute effects of two environmental factors, ambient ozone (03) and ambient temperature, upon the daily work performances of these individuals. Since each individual is separately analyzed, the host of plausible confounding influences (e.g., experience, biological endowments, health histories, etc.) to which one must devote attention when dealing with the fictional ""representative"" individual are relevant here only insofar as they change within the short time periods being considered."
TIME COURSE OF RESPONSE TO OZONE EXPOSURE IN HEALTHY ADULT FEMALES,Lawrence J. Folinsbee,2000,20,NOT Open Access,https://doi.org/10.1080/089583700196211,
