Title,Author,Year,Citation count,Open access,Abstract,DOI
The effect of pollution on crime: Evidence from data on particulate matter and ozone,Jesse Burkhardt|Jude Bayham|Ander Wilson|Ellison Carter|Jesse D. Berman|Katelyn O’Dell|Bonne Ford|Emily V. Fischer|Jeffrey R. Pierce,2019,170,NOT Open Access,,https://doi.org/10.1016/j.jeem.2019.102267
Pollution models and inverse distance weighting: Some critical remarks,Louis de Mesnard,2012,129,NOT Open Access,,https://doi.org/10.1016/j.cageo.2012.11.002
Inflammation and lithium: clues to mechanisms contributing to suicide-linked traits,Eléonore Beurel|Richard S. Jope,2014,94,Open Access,"Suicide is one of the leading causes of death in the United States, yet it remains difficult to understand the mechanistic provocations and to intervene therapeutically. Stress is recognized as a frequent precursor to suicide. Psychological stress is well established to cause activation of the inflammatory response, including causing neuroinflammation, an increase of inflammatory molecules in the central nervous system (CNS). Neuroinflammation is increasingly recognized as affecting many aspects of CNS functions and behaviors. In particular, much evidence demonstrates that inflammatory markers are elevated in traits that have been linked to suicidal behavior, including aggression, impulsivity and depression. Lithium is recognized as significantly reducing suicidal behavior, is anti-inflammatory and diminishes aggression, impulsivity and depression traits, each of which is associated with elevated inflammation. The anti-inflammatory effects of lithium result from its inhibition of glycogen synthase kinase-3 (GSK3). GSK3 has been demonstrated to strongly promote inflammation, aggressive behavior in rodents and depression-like behaviors in rodents, whereas regulation of impulsivity by GSK3 has not yet been investigated. Altogether, evidence is building supporting the hypothesis that stress activates GSK3, which in turn promotes inflammation, and that inflammation is linked to behaviors associated with suicide, including particularly aggression, impulsivity and depression. Further investigation of these links may provide a clearer understanding of the causes of suicidal behavior and provide leads for the development of effective preventative interventions, which may include inhibitors of GSK3.",https://doi.org/10.1038/tp.2014.129
Characterization of Indoor-Outdoor Aerosol Concentration Relationships during the Fresno PM Exposure Studies,Alan Vette|Anne W. Rea|P.A. Lawless|Charles Rodes|Gary F. Evans|V. Ross Highsmith|Linda Sheldon,2001,179,Open Access,"Particle size distributions were measured indoors and outdoors of a single, detached residence during the Fresno particulate matter exposure studies in winter (February 1-28, 1999) and spring (April 18-May 16, 1999). Data was collected for particle sizes ranging from about 0.01 to 2.5",https://doi.org/10.1080/02786820117903
"Relationship between indoor and outdoor levels of fine particle mass, particle number concentrations and black smoke under different ventilation conditions",Josef Cyrys|Mike Pitz|W. Bischof|H‐Erich Wichmann|Joachim Heinrich,2004,148,NOT Open Access,,https://doi.org/10.1038/sj.jea.7500317
Air pollution forecast in cities by an air pollution index highly correlated with meteorological variables,E. Cogliani,2001,119,NOT Open Access,,https://doi.org/10.1016/s1352-2310(01)00071-1
Medium- and long-term consequences of pollution on labor supply: evidence from Indonesia,Younoh Kim|James Manley|Vlad Radoias,2017,52,Open Access,"Abstract We use a natural experiment in Indonesia to study the medium- and long-term effects of air pollution on labor supply. We find that exposure to air pollution reduces hours worked and while the medium-term effects are larger in magnitude, some effects do persist in the long term. More interestingly, we are able to provide some insight regarding the underlying channels that contribute to the reduced labor supply. Own health seems to be the only responsible channel in the long term, while in the medium term, a different channel based on dependent caregiving is the most important. JEL Classification: J22, Q53",https://doi.org/10.1186/s40172-017-0055-2
Contribution of nitrogen oxide and sulfur dioxide exposure from power plant emissions on respiratory symptom and disease prevalence,Eric Amster|Maayan Haim|Jonathan Dubnov|David M. Broday,2013,50,NOT Open Access,,https://doi.org/10.1016/j.envpol.2013.10.032
Chemical Characterization of the Indoor Air Quality of a University Hospital: Penetration of Outdoor Air Pollutants,Paul T.J. Scheepers|Luuk van Wel|Gwendolyn Beckmann|Rob Anzion,2017,39,Open Access,"For healthcare centers, local outdoor sources of air pollution represent a potential threat to indoor air quality (IAQ). The aim of this study was to study the impact of local outdoor sources of air pollution on the IAQ of a university hospital. IAQ was characterized at thirteen indoor and two outdoor locations and source samples were collected from a helicopter and an emergency power supply. Volatile organic compounds (VOC), acrolein, formaldehyde, nitrogen dioxide (NO2), respirable particulate matter (PM-4.0 and PM-2.5) and their respective benz(a)pyrene contents were determined over a period of two weeks. Time-weighted average concentrations of NO2 (4.9–17.4 μg/m3) and formaldehyde (2.5–6.4 μg/m3) were similar on all indoor and outdoor locations. The median concentration VOC in indoor air was 119 μg/m3 (range: 33.1–2450 μg/m3) and was fivefold higher in laboratories (316 μg/m3) compared to offices (57.0 μg/m3). PM-4.0 and benzo(a)pyrene concentration were lower in buildings serviced by a >99.95% efficiency particle filter, compared to buildings using a standard 80–90% efficiency filter (p < 0.01). No indications were found that support a significant contribution of known local sources such as fuels or combustion engines to any of the IAQ parameters measured in this study. Chemical IAQ was primarily driven by known indoor sources and activities.",https://doi.org/10.3390/ijerph14050497
Pollution and Politician Productivity: The Effect of PM on MPs,Anthony Heyes|Nicholas Rivers|Brandon Schaufele,2019,37,Open Access,"Applying methods of textual analysis to all 119,225 speeches made in the Canadian House of Commons between 2006 and 2011, we establish that air pollution reduces the speech quality of Canadian members of parliament (MPs). Exposure to fine particulate matter concentrations exceeding 15 µg/m3 causes a 2.3% reduction in the quality of MPs’ speech (equivalent to a 2.6 month decrease in education). For more difficult communication tasks the decrement in quality is equivalent to the loss of 6.5 months of schooling. Our design accounts for the potential endogeneity of exposure and controls for many potential confounders including individual fixed effects. (JEL Q52, Q53)",https://doi.org/10.3368/le.95.2.157
The Impact of Short Term Exposure to Ambient Air Pollution on Cognitive Performance and Human Capital Formation,Victor Lavy|Avraham Ebenstein|Sefi Roth,2014,144,Open Access,"Cognitive performance is critical to productivity in many occupations and potentially linked to pollution exposure. We evaluate this potentially important relationship by estimating the effect of pollution exposure on standardized test scores among Israeli high school high-stakes tests (2000)(2001)(2002). Since students take multiple exams on multiple days in the same location after each grade, we can adopt a fixed effects strategy estimating models with city, school, and student fixed effects. We focus on fine particulate matter (PM 2.5 ) and carbon monoxide (CO), which are considered to be two of the most dangerous forms of air pollution. We find that while PM 2.5 and CO levels are only weakly correlated with each other, both exhibit a robust negative relationship with test scores. We also find that PM 2.5 , which is thought to be particularly damaging for asthmatics, has a larger negative impact on groups with higher rates of asthma. For CO, which affects neurological functioning, the effect is more homogenous across demographic groups. Furthermore, we find that exposure to either pollutant is associated with a significant decline in the probability of not receiving a Bagrut certificate, which is required for college entrance in Israel. The results suggest that the gain from improving air quality may be underestimated by a narrow focus on health impacts. Insofar as air pollution may lead to reduced cognitive performance, the consequences of pollution may be relevant for a variety of everyday activities that require mental acuity. Moreover, by temporarily lowering the productivity of human capital, high pollution levels lead to allocative inefficiency as students with lower human capital are assigned a higher rank than their more qualified peers. This may lead to inefficient allocation of workers across occupations, and possibly a less productive workforce.",https://doi.org/10.3386/w20648
The Effect of Air Pollution on Investor Behavior: Evidence from the S&P 500,Anthony Heyes|Matthew Neidell|Soodeh Saberian,2016,84,NOT Open Access,,https://doi.org/10.3386/w22753
Hazed and Confused: The Effect of Air Pollution on Dementia,Kelly Bishop|Jonathan D. Ketcham|Nicolai V. Kuminoff,2018,80,Open Access,"We study whether long-term cumulative exposure to airborne small particulate matter (PM.) affects the probability that an individual receives a new diagnosis of Alzheimer's disease or related dementias. We track the health, residential location, and PM. exposures of Americans aged 65 and above from 2001 through 2013. The expansion of Clean Air Act regulations led to quasi-random variation in individuals' subsequent exposures to PM.. We leverage these regulations to construct instrumental variables for individual-level decadal PM. that we use within flexible probit models that also account for any potential sample selection based on survival. We find that a 1 g/m3 increase in decadal PM. increases the probability of a new dementia diagnosis by an average of 2.15 percentage points. All else equal, we find larger effects for women, older people, and people with more clinical risk factors for dementia. These effects persist below current regulatory thresholds.",https://doi.org/10.3386/w24970
Fresh Air Eases Work – The Effect of Air Quality on Individual Investor Activity,Steffen Meyer|Michaela Pagel,2017,31,Open Access,"This paper shows that air quality has a significantly negative effect on the likelihood of individual investors to sit down, log in, and trade in their brokerage accounts controlling for investor-, weather-, traffic-, and market-specific factors. In perspective, a one standard deviation increase in fine particulate matter leads to the same reduction in the probability of logging in and trading as a one standard deviation increase in sunshine. We document this effect for low levels of pollution that are commonly found throughout the developed world. As individual investor trading can be a proxy for everyday cognitively-demanding tasks such as office work, our findings suggest that the negative effects of pollution on white-collar work productivity are much more severe than previously thought. To our knowledge, this is the first study to demonstrate a negative impact of pollution on a measure of white-collar productivity at the individual level in a western country.",https://doi.org/10.3386/w24048
The Effect of Pollution and Heat on High Skill Public Sector Worker Productivity in China,Matthew E. Kahn|Pei Li,2019,25,Open Access,"The quality of governance depends on public sector worker productivity. We use micro data from China to document that judges are less productive on polluted days. Building on the insights of Alchian and Kessel (1962), we discuss the role of organization design and the incentives of public versus for profit organizations in designing a workplace that reduces the productivity costs of local disamenities. We find that the public sector productivity elasticities are larger than published estimates of the private sector productivity elasticities with respect to pollution.",https://doi.org/10.3386/w25594
Crime is in the Air: The Contemporaneous Relationship between Air Pollution and Crime,Malvina Bondy|Sefi Roth|Lutz Sager,2018,17,Open Access,,https://doi.org/10.2139/ssrn.3170281
I Am Innocent: Hourly Variations in Air Pollution and Crime Behavior,Luis Sarmiento,2020,2,Open Access,,https://doi.org/10.2139/ssrn.3639084
