Title,Author,Year,Citation.count,Open.access,DOI,Abstract,doi_n,Source
airborne particles in indoor environment of homes schools offices and aged care facilities the main routes of exposure,Lídia Morawska|Godwin A. Ayoko|Gwi–Nam Bae|Giorgio Buonanno|Christopher Y.H. Chao|Samuel Clifford|Sau Chung Fu|Otto Hänninen|C. He|Christina Isaxon|Mandana Mazaheri|Tunga Salthammer|Michael S. Waring|Aneta Wierzbicka,2017,378,Open Access,https://doi.org/10.1016/j.envint.2017.07.025,"It has been shown that the exposure to airborne particulate matter is one of the most significant environmental risks people face. Since indoor environment is where people spend the majority of time, in order to protect against this risk, the origin of the particles needs to be understood: do they come from indoor, outdoor sources or both? Further, this question needs to be answered separately for each of the PM mass/number size fractions, as they originate from different sources. Numerous studies have been conducted for specific indoor environments or under specific setting. Here our aim was to go beyond the specifics of individual studies, and to explore, based on pooled data from the literature, whether there are generalizable trends in routes of exposure at homes, schools and day cares, offices and aged care facilities. To do this, we quantified the overall 24 h and occupancy weighted means of PM 10 , PM 2.5 and PN - particle number concentration. Based on this, we developed a summary of the indoor versus outdoor origin of indoor particles and compared the means to the WHO guidelines (for PM 10 and PM 2.5 ) and to the typical levels reported for urban environments (PN). We showed that the main origins of particle metrics differ from one type of indoor environment to another. For homes, outdoor air is the main origin of PM 10 and PM 2.5 but PN originate from indoor sources; for schools and day cares, outdoor air is the source of PN while PM 10 and PM 2.5 have indoor sources; and for offices, outdoor air is the source of all three particle size fractions. While each individual building is different, leading to differences in exposure and ideally necessitating its own assessment (which is very rarely done), our findings point to the existence of generalizable trends for the main types of indoor environments where people spend time, and therefore to the type of prevention measures which need to be considered in general for these environments.",10.1016/j.envint.2017.07.025,B25
the home advantage in sport competitions courneya and carron s 1992 conceptual framework a decade later,Albert V. Carron|Todd M Loughhead|Steven R. Bray,2005,270,NOT Open Access,https://doi.org/10.1080/02640410400021542,,10.1080/02640410400021542,B25
fine particulate matter air pollution and cognitive function among u s older adults,Jennifer Ailshire|Philippa Clarke,2014,166,Open Access,https://doi.org/10.1093/geronb/gbu064,"OBJECTIVES: There is growing interest in understanding how exposures in the residential environment relate to cognitive function in older adults. The goal of this study is to determine if neighborhood-level exposure to fine particulate matter air pollution (PM2.5) is associated with cognitive function in a diverse, national sample of older U.S. adults. METHODS: We use cross-sectional data on non-Hispanic black and white men and women aged 55 and older from the 2001/2002 Americans' Changing Lives Study (N = 780). EPA air monitoring data were linked to respondents using census tract identifiers. Cognitive function was assessed with tests of working memory and orientation. Negative binomial regression models were used to examine the association between PM2.5 and the number of errors on the cognitive assessment. RESULTS: Older adults living in areas with high concentrations of PM2.5 had an error rate 1.5 times greater than those exposed to lower concentrations, net of individual and neighborhood-level demographic and socioeconomic characteristics. DISCUSSION: This study adds to a growing body of research demonstrating the importance of air pollution to cognitive function in older adults. Improvements to air quality may be an important mechanism for reducing age-related cognitive decline.",10.1093/geronb/gbu064,B25
the home advantage,Barry Schwartz|Stephen F. Barsky,1977,163,NOT Open Access,https://doi.org/10.2307/2577461,,10.2307/2577461,B25
evidence of a reduced home advantage when a team moves to a new stadium,Richard Pollard,2002,152,NOT Open Access,https://doi.org/10.1080/026404102321011724,,10.1080/026404102321011724,B25
spatiotemporal variation and socioeconomic drivers of air pollution in china during 2005 2016,Wenxuan Xu|Jiaqi Sun|Yongxue Liu|Yue Xiao|Yongzhong Tian|Bingxue Zhao|Xueqian Zhang,2019,145,NOT Open Access,https://doi.org/10.1016/j.jenvman.2019.05.041,,10.1016/j.jenvman.2019.05.041,B25
the effects of indoor air pollution from solid fuel use on cognitive function among middle aged and older population in china,Yanan Luo|Yijing Zhong|Lihua Pang|Yihao Zhao|Richard Liang|Xiaoying Zheng,2020,133,Open Access,https://doi.org/10.1016/j.scitotenv.2020.142460,,10.1016/j.scitotenv.2020.142460,B25
indoor exposure to outdoor pm10,Chun Chen|Bin Zhao|Charles J. Weschler,2012,128,NOT Open Access,https://doi.org/10.1097/ede.0b013e31826b800e,,10.1097/ede.0b013e31826b800e,B25
long term impacts of exposure to high temperatures on human capital and economic productivity,Ram Fishman|Paul E. Carrillo|Jason Russ,2018,125,NOT Open Access,https://doi.org/10.1016/j.jeem.2018.10.001,,10.1016/j.jeem.2018.10.001,B25
the impacts of economic level and air pollution on public health at the micro and macro level,Yizhen Wang|Ken Sun|Li Li|Yalin Lei|Sanmang Wu|Yong Jiang|Yifeng Mi|Jingjing Yang,2022,51,NOT Open Access,https://doi.org/10.1016/j.jclepro.2022.132932,,10.1016/j.jclepro.2022.132932,B25
